LACUNA_NUMBER, TRIANGLES, SCALE_X, SCALE_Y, SCALE_Z, POS_X, POS_Y, POS_Z , STD_X, STD_Y, STD_Z,PROJ_X, PROJ_Y, PROJ_Z, PCA1_X, PCA1_Y, PCA1_Z, PCA1_S, PCA2_X, PCA2_Y, PCA2_Z, PCA2_S, PCA3_X, PCA3_Y, PCA3_Z, PCA3_S,PROJ_PCA1, PROJ_PCA2, PROJ_PCA3,OBJ_RADIUS, OBJ_RADIUS_STD, VOLUME, VOLUME_BOX, Mask_Grad_X,Mask_Grad_Y,Mask_Grad_Z,Mask_Angle, Mask_Distance_Mean,Mask_Distance_COV, Mask_Distance_STD, Canal_Distance, Canal_Distance_STD, Canal_Distance_CX, Canal_Distance_CY, Canal_Distance_CZ, Canal_Distance_GRAD_X, Canal_Distance_GRAD_Y, Canal_Distance_GRAD_Z, Canal_Distance_ANGLE, Canal_Region, Canal_Region_STD, Density_CNT, Density_CX, Density_CY, Density_CZ
11, 0 ,0.00139999995008111,0.00139999995008111,0.00139999995008111,1170.0388925510877,833.5179630850363,433.8447593935399,5.736967135858587,3.3481033411198027,9.431358402506731,26.0,17.0,44.0,-0.055672311493636675,0.171451842611835,0.9836182488130049,9.577563066082798,-0.95585314710987,-0.29383063784157604,-0.00288399475888934,5.928533442185017,0.2885227112258449,-0.9403551573371729,0.1802410141345988,2.48915370304325,44.873506934641455,26.80867910333245,12.28595097901399,10.752308023169077,4.178633914590105,6068.0,14779.992241632963, -0.3053768412271438, 0.03927766538947708,0.747883859199078,43.770315081075566, 12.289222148978247,12.289222148978247,21.420167336936093, 127.0, 0.0, 1170.0388925510877, 833.5179630850363, 433.8447593935399, 0.0, 0.0, 0.0, NaN, 127.0, 0.0, 7073.0, 1172.493567086102, 835.1070267213347, 434.058956595504
12, 0 ,0.00139999995008111,0.00139999995008111,0.00139999995008111,1215.1211837422738,837.3656115377412,432.6785914965349,9.239813383475092,2.4675578580435182,7.0503827678547655,42.0,17.0,32.0,0.8504762095627677,0.06322047967431675,0.5222005246239199,10.3436927406476,-0.525849447437555,0.1269783347386977,0.8410462895326309,5.373695696023196,0.013136803163862345,0.9898887177136312,-0.14123650712863658,2.30267352681988,49.73975779957823,23.72564062712786,16.24675704177946,10.945280526638268,4.6229562523014245,5339.0,19172.921759836743, -0.5597444396678384, -0.17019812244461718,-0.013735440043888048,59.409826647206614, 14.137666229631018,14.137666229631018,23.906165346721654, 127.0, 0.0, 1215.1211837422738, 837.3656115377412, 432.6785914965349, 0.0, 0.0, 0.0, NaN, 127.0, 0.0, 5916.0, 1214.5512170385396, 837.3203177822853, 432.67951318458415
13, 0 ,0.00139999995008111,0.00139999995008111,0.00139999995008111,1096.9350462487153,905.9804727646455,441.47584789311406,5.258956528111059,2.6641830855611075,11.390945107741288,25.0,13.0,49.0,0.23399954549765342,0.07376333649719267,0.969434465498155,11.684288808559629,-0.9024627906535455,-0.35444622056891384,0.24480357066478567,4.915873721036332,-0.3616699105437266,0.9321624573609556,0.016371588013313825,1.9544068978898974,52.53838686584254,25.72606748060207,9.583707340260503,11.510505603096767,5.658302438594304,4865.0,12953.397165935063, -0.1541858396585667, -0.0765108604470015,0.2655265726426137,86.6475287853581, 13.899075025693731,13.899075025693731,23.639548472226217, 127.0, 0.0, 1096.9350462487153, 905.9804727646455, 441.47584789311406, 0.0, 0.0, 0.0, NaN, 127.0, 0.0, 6607.0, 1092.9175117299833, 906.3310125624338, 439.96397759951566
14, 0 ,0.00139999995008111,0.00139999995008111,0.00139999995008111,985.1697027804411,780.0920421860019,434.1534036433365,3.7735216426562666,5.919689747103321,6.960362741196736,17.0,29.0,32.0,-0.2983099173639667,-0.44747182906642224,0.8430777872736617,7.791718718910049,0.26658172052049306,-0.8872044337075427,-0.3765666993960185,5.3801729649734416,-0.9164853405737793,-0.11241554608517468,-0.3839496913812208,2.841073749650083,37.270285637121106,27.814970578913062,14.098963699168507,9.289952749014345,3.38018042413023,5215.0,14615.999464394992, 0.02087168387060956, -0.05421750805987813,0.11399715959146306,44.40581583286539, 11.893192713326942,11.893192713326942,20.610693164967216, 127.0, 0.0, 985.1697027804411, 780.0920421860019, 434.1534036433365, 0.0, 0.0, 0.0, NaN, 127.0, 0.0, 8547.0, 984.7754767754768, 776.1567801567802, 433.8845208845209
15, 0 ,0.00139999995008111,0.00139999995008111,0.00139999995008111,968.9259446693658,833.3809041835358,445.263326585695,3.2538902728687042,6.742766383887888,10.199477600337794,27.0,39.0,52.0,0.15267809666933665,-0.24904415032533306,0.9563819372960584,10.489799656824223,0.20228544826142977,-0.9393635419722948,-0.27690563994786543,6.585523595118752,-0.9673520539178592,-0.2357395749593127,0.0930422300834496,2.5839941704994422,56.85023709927242,40.57479697237102,20.004604688442896,11.476476209395171,5.326587796191609,5928.0,46144.35813686155, 0.21458756133824863, 1.0009978520876075,-0.8799826501563643,56.17340360017811, 15.910931174089068,15.910931174089068,24.508863181236265, 127.0, 0.0, 968.9259446693658, 833.3809041835358, 445.263326585695, 0.0, 0.0, 0.0, NaN, 127.0, 0.0, 16470.0, 977.2610200364298, 847.0535519125683, 443.1927140255009
16, 0 ,0.00139999995008111,0.00139999995008111,0.00139999995008111,1049.1691065118628,852.6375567895003,447.7953054013125,4.72325218634505,2.84442348545259,9.418919824019161,21.0,14.0,45.0,-0.3392620911583779,0.04822786642074143,0.9394547921019657,9.948577291996465,0.8758333379693088,0.38060014585735197,0.29674819809882763,3.6276527076024756,0.3432450984418905,-0.9234812406724165,0.17136277460916477,2.642319535920178,46.927012161751065,16.28056444048434,12.866745944799277,9.900247061383418,4.593584107783362,3962.0,9830.171327105198, 0.24697024470424367, -0.28540483645906534,-0.8689417826771546,62.82763857308411, 12.942705704189803,12.942705704189803,22.241662897566318, 127.0, 0.0, 1049.1691065118628, 852.6375567895003, 447.7953054013125, 0.0, 0.0, 0.0, NaN, 127.0, 0.0, 4348.0, 1049.3408463661453, 852.294388224471, 446.71435142594294
17, 0 ,0.00139999995008111,0.00139999995008111,0.00139999995008111,1269.2508674531575,758.8816793893129,458.9208882720333,2.7190707754317103,4.5630235735921065,12.597254728387798,13.0,27.0,65.0,-0.006172988547922386,-0.13699285416973564,0.9905528012775576,12.704034928027772,0.32841834350763466,-0.935902592285323,-0.1273881054153548,4.427434778418651,-0.9445121946592793,-0.3245293448365522,-0.050768282222955714,2.431187886024473,66.04219231017396,25.362908284319076,12.166358502977573,12.13753346884786,6.291711849683654,5764.0,20378.91896093006, 0.13327338529620647, 0.11966816962728899,-0.759354280168111,72.50823931213401, 14.033136710617626,14.033136710617626,23.2243182348893, 127.0, 0.0, 1269.2508674531575, 758.8816793893129, 458.9208882720333, 0.0, 0.0, 0.0, NaN, 127.0, 0.0, 8771.0, 1270.5015391631514, 761.9545091779729, 451.7145137384563
18, 0 ,0.00139999995008111,0.00139999995008111,0.00139999995008111,1025.311697574893,757.8116975748931,450.09218972895866,5.406235381336152,4.051759287477545,9.455441507004952,30.0,20.0,44.0,-0.41610487976266924,0.02244409577373702,0.9090395984788527,10.274855459562437,-0.5676291018798522,-0.787408202837999,-0.24038619927630037,4.639600687113825,0.7103899856675675,-0.6160232014042422,0.34038431749259684,2.819744520997673,51.08841196038691,22.907986467852652,13.580771047514759,10.592237417814422,4.780587296464113,5608.0,15894.019767079755, -0.25416238507318667, -0.25965107003992216,-0.23813975477997928,88.95073965983836, 13.46629814550642,13.46629814550642,22.11260908277189, 127.0, 0.0, 1025.311697574893, 757.8116975748931, 450.09218972895866, 0.0, 0.0, 0.0, NaN, 127.0, 0.0, 7268.0, 1019.7570170610898, 758.7871491469455, 452.960236653825
19, 0 ,0.00139999995008111,0.00139999995008111,0.00139999995008111,1080.8832923832924,821.3114250614251,445.9658067158067,5.5640760962414335,2.4672018290336566,8.585949440161759,34.0,18.0,36.0,-0.03910760192165346,0.037042424338765895,0.9985481732350445,8.595072720614274,0.9987791206673882,-0.028733773653435317,0.04018256301571463,5.560212224004869,0.030180516742034473,0.9989005100863348,-0.0358734910267154,2.4440377268662474,36.48904513061609,33.80920863999063,17.67099539453045,9.788983198129397,3.8652766273199806,4884.0,21800.10160807514, 0.2736853124833942, -0.36557120691588807,-0.7547572715523643,58.356120284457816, 13.760647010647011,13.760647010647011,23.243217800058396, 127.0, 0.0, 1080.8832923832924, 821.3114250614251, 445.9658067158067, 0.0, 0.0, 0.0, NaN, 127.0, 0.0, 9359.0, 1081.5127684581687, 820.4081632653061, 446.11678598140827
20, 0 ,0.00139999995008111,0.00139999995008111,0.00139999995008111,1109.3213239601641,762.7103104862332,452.4367311072056,6.073907905089926,4.167884897628994,8.305457193394998,33.0,23.0,38.0,0.2276172702435741,-0.04884221720695503,0.9725249693993323,8.40773266292601,-0.8709887478107172,0.43635712935736376,0.22576770549863756,6.394353508197731,0.435395199185731,0.898446934146536,-0.05678139703026043,3.4156281459902726,37.20015992320941,36.96115475734803,22.985197996233637,10.415293666148914,3.8426421637453214,6828.0,31603.747786210748, 0.36940736560814, -0.5923597627290746,0.3214523108624121,72.20449475245458, 14.97949619214997,14.97949619214997,22.636855577648305, 127.0, 0.0, 1109.3213239601641, 762.7103104862332, 452.4367311072056, 0.0, 0.0, 0.0, NaN, 127.0, 0.0, 11509.0, 1110.4712833434703, 759.8316969328351, 451.7109218872187
