BMD,MECHANICS_STIFFNESS,CORT_DTO__C_TH,CORT_DTO__C_TH_SD,CORT_MOM__J,CT_TH_RAD,CT_TH_RAD_STD,CANAL_VOLUME,CANAL_COUNT,CANAL_DENSITY,CANAL_FRACTION,CANAL_PRIMARY,CANAL_THETA_Z,LACUNA_COUNT,LACUNA_VOLUME,LACUNA_DENSITY,LACUNA_FRACTION,LACUNA_ANISOTROPY,LACUNA_OBLATENESS,LACUNA_PRIMARY,LACUNA_PRIMARY_Z,LACUNA_SECONDARY,DISTRIBUTION_AISO,DISTRIBUTION_OBLATENESS,CANAL_VOLUME_CV,CANAL_THETA,CANAL_THETA_CV,CANAL_PCA1,CANAL_PCA1_CV,CANAL_PCA2,CANAL_PCA2_CV,CANAL_PCA3,CANAL_PCA3_CV,FEMALE,ID
0.0302208,63.107043714,0.190568,0.029787,0.135613,88.0004293158,20.7233324736,78011.7410446,300.0,310.8213221,0.0242477124908,0.581691764098,38.8829728359,48983.0,285.905367457,58326.4528124,0.0166758459238,0.669172781003,-0.405256601641,0.807397711591,0.99982423929,0.473557147261,0.615687137324,0.836547153034,2.24361228224,43.4034154404,0.56961276576,220.838896124,0.952757042472,81.9003059635,0.891914480845,41.1138989806,0.828996703969,1,481
0.0344315,75.157056117,0.182305,0.02355,0.180498,75.9259048489,8.41933233988,74868.7034749,383.0,380.01973522,0.0284515848708,0.532576450169,37.9293097893,50631.0,330.314655058,62085.1083937,0.0205076211633,0.656675110885,-0.300521686283,0.739658693171,0.999416145475,0.494888760399,0.690346870092,0.825120084365,2.37441001802,41.4608591352,0.55620533367,192.146271478,0.862826534104,77.3168219919,0.851194502119,40.0308426034,0.740590132473,0,482
0.0357666,71.656507494,0.194801,0.023023,0.167241,90.1406811464,26.8562680387,91400.2771033,350.0,340.393999367,0.0311121058664,0.701876553361,46.2751929626,36332.0,318.941843134,43200.1669629,0.0137783408748,0.663582363017,-0.37324368288,0.791912446457,0.994598437459,0.440849701665,0.332461855118,0.497223091755,2.40781807012,50.9472868379,0.45140329678,206.189804739,0.967248726063,72.87750506,1.04928988403,35.7051496936,0.695350359098,0,483
0.0304262,52.561502136,0.156087,0.018941,0.106412,76.3931639915,21.8060157158,76887.4435516,160.0,223.85545652,0.0172116737769,0.695582461976,45.9465096758,25230.0,266.081590616,38184.7481476,0.0101602585244,0.660802286167,-0.337266991225,0.780328812696,0.99399213265,0.395138160774,0.191734791641,0.60446472942,1.93909684202,50.3807142264,0.443944611668,189.36965421,0.670215206288,58.2350933385,0.869802044509,28.6155013757,0.717833631917,1,484
0.0314532,53.822329704,0.181253,0.018361,0.103173,83.5484998926,20.6960709294,74211.9582912,180.0,241.501801083,0.0179223215892,0.708877696013,46.7387002066,28297.0,273.37664558,38890.8037816,0.0106318374817,0.660060961271,-0.367112259878,0.812019947064,0.997030445577,0.481570790573,0.212157469252,0.295080101213,1.80972474227,51.3102583002,0.427238184372,245.688999727,1.23781720074,77.7214941749,1.28289020812,35.6529435655,0.767180455715,0,485
0.0307343,67.767208938,0.211595,0.022414,0.176572,81.9496548512,12.9729934939,62954.015281,270.0,303.359890009,0.0190977231513,0.756544922875,49.3941148202,39505.0,280.809434387,48719.8245985,0.013680986389,0.690783565573,-0.483535641717,0.883623297643,0.998015778344,0.632407047167,0.457487382024,0.580984458304,1.18350755479,54.0768427928,0.404569430815,360.505792921,0.719975601284,96.1544597192,0.728821161888,39.3122611625,0.590595684073,0,486
0.0340207,56.011021209,0.231012,0.027009,0.142325,78.129687689,8.40262796578,27920.6764042,208.0,251.694957916,0.00702749347253,0.358335064742,31.4495347702,19500.0,263.329493915,25894.9769343,0.00681891117105,0.700374898025,-0.346308966148,0.919109968952,0.997989151146,0.706785690118,0.167877163487,0.866228599107,1.4867684813,34.6772734651,0.656755879432,376.236305809,0.842364123249,76.1524540615,0.939577843078,34.1509091288,0.968437882943,0,487
0.0346369,57.667751856,0.16374,0.019272,0.13791,69.9253862248,8.19441874142,9251.92813882,57.0,95.7563019009,0.000885930424027,0.761143620236,49.3832629282,21676.0,284.40191389,30041.8699204,0.0085439653022,0.69878007678,-0.269563449222,0.859815047104,0.988607903219,0.596476576027,0.207680476809,0.533032655669,1.33223822049,55.4450960169,0.42616262409,405.332702741,1.39359698734,111.752382465,1.33454607824,32.7312755858,1.0034632909,0,488
0.0361774,79.506970686,0.182666,0.017111,0.175275,89.6569564808,18.2310851152,64869.5375653,246.0,263.325802768,0.0170818230546,0.674693305346,43.3739759741,37996.0,330.86084446,42884.423408,0.014188776543,0.671303926345,-0.237223013081,0.810863007237,0.993795104186,0.408726909766,0.488471068776,0.545272844037,1.73677364163,48.3776797063,0.506520212703,230.978619562,1.27224241676,66.9038733849,1.02399011614,30.3703376238,0.623068457371,0,489
0.0312272,60.004656855,0.180685,0.019399,0.137731,88.6216334619,27.8364481118,59570.2296081,241.0,279.33914897,0.0166402972427,0.491445340065,36.2890108933,21479.0,304.059048735,27899.5960791,0.00848312464389,0.66977231353,-0.175619009435,0.727577201919,0.999951953026,0.597886463976,0.128331477327,-0.17103981805,2.02853882693,40.8205325012,0.624618928742,244.562981992,1.34059034035,73.1934117132,1.23517960958,33.1357472184,0.823035906424,1,536
